Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value,Price per kilo wholesale,Price per kilo landed
2006,Salmon,Wild commercial,Pink,1.4,0.5,8.5,6.0714,0.357142857
2006,Salmon,Wild commercial,Sockeye,10.4,33.3,114,10.9615,3.201923077
2005,Salmon,Farmed,Farmed,70.42,318.33,375.8,5.3366,4.520448736
2005,Salmon,Farmed,Atlantic,53.79,252.23,293.1,5.449,4.689161554
2005,Salmon,Farmed,Pacific,16.63,66.1,82.7,4.9729,3.974744438
2005,Salmon,Wild commercial,Chinook,2.1,12.6,24.9,11.8571,6
2005,Salmon,Wild commercial,Chum,10.6,10.1,54.1,5.1038,0.952830189
2005,Salmon,Wild commercial,Coho,1.1,3.5,24,21.8182,3.181818182
2005,Salmon,Wild commercial,Pink,12.6,4.2,46.9,3.7222,0.333333333
2005,Salmon,Wild commercial,Sockeye,0.9,3.8,67.5,75,4.222222222
2004,Salmon,Farmed,Farmed,61.83,225.18,287.2,4.645,3.641921397
2004,Salmon,Farmed,Atlantic,46.07,174.53,,,3.788365531
2004,Salmon,Farmed,Pacific,15.76,50.65,,,3.213832487
2004,Salmon,Farmed,"Salmon, farmed",,,287.2,,
2004,Salmon,Wild commercial,Chinook,2.4,14.8,26.9,11.2083,6.166666667
2004,Salmon,Wild commercial,Chum,14.3,11.2,46.8,3.2727,0.783216783
2004,Salmon,Wild commercial,Coho,1.2,3.9,19.3,16.0833,3.25
2004,Salmon,Wild commercial,Pink,3.6,1.1,22.9,6.3611,0.305555556
2004,Salmon,Wild commercial,Sockeye,4.4,22.2,100.8,22.9091,5.045454545
2003,Salmon,Farmed,Farmed,72.68,255.8,302,4.1552,3.5195377
2003,Salmon,Farmed,Atlantic,55.54,212.92,,,3.833633417
2003,Salmon,Farmed,"Chinook salmon, farmed",15.72,36.83,,,2.342875318
2003,Salmon,Farmed,"Coho salmon, farmed",1.42,6.05,,,4.26056338
2003,Salmon,Farmed,"Salmon, farmed",,,302,,
2003,Salmon,Wild commercial,Chinook,2.2,8.2,17.3,7.8636,3.727272727
2003,Salmon,Wild commercial,Chum,13.7,9.1,45.6,3.3285,0.664233577
2003,Salmon,Wild commercial,Coho,0.8,2.5,14.2,17.75,3.125
2003,Salmon,Wild commercial,Pink,15.5,4.4,33.3,2.1484,0.283870968
2003,Salmon,Wild commercial,Sockeye,6.4,24.6,75.2,11.75,3.84375
2002,Salmon,Farmed,Farmed,84.25,288.95,338.9,4.0226,3.429673591
2002,Salmon,Farmed,Atlantic,71.57,238.11,,,3.326952634
2002,Salmon,Farmed,"Chinook salmon, farmed",10.41,41.86,,,4.021133525
2002,Salmon,Farmed,"Coho salmon, farmed",2.26,8.94,,,3.955752212
2002,Salmon,Farmed,Other Pacific,0.01,0.04,,,4
2002,Salmon,Farmed,"Salmon, farmed",,,338.9,,
2002,Salmon,Wild commercial,Chinook,1.7,7.1,11.8,6.9412,4.176470588
2002,Salmon,Wild commercial,Chum,12.4,6,40.4,3.2581,0.483870968
2002,Salmon,Wild commercial,Coho,0.5,1.1,8.1,16.2,2.2
2002,Salmon,Wild commercial,Pink,8.6,2.8,32.1,3.7326,0.325581395
2002,Salmon,Wild commercial,Sockeye,10.1,40.3,103.5,10.2475,3.99009901
2001,Salmon,Farmed,Farmed,68.03,270.88,323,4.7479,3.981772747
2001,Salmon,Farmed,Atlantic,58.03,216.65,,,3.733413752
2001,Salmon,Farmed,"Chinook salmon, farmed",7.5,45.04,,,6.005333333
2001,Salmon,Farmed,"Coho salmon, farmed",2.47,9.08,,,3.67611336
2001,Salmon,Farmed,Other Pacific,0.03,0.11,,,3.666666667
2001,Salmon,Farmed,"Salmon, farmed",,,323,,
2001,Salmon,Wild commercial,Chinook,0.7,3.1,5.1,7.2857,4.428571429
2001,Salmon,Wild commercial,Chum,5.8,5.7,26.6,4.5862,0.982758621
2001,Salmon,Wild commercial,Coho,0.1,0.1,5,50,1
2001,Salmon,Wild commercial,Pink,10.9,4.3,43.3,3.9725,0.394495413
2001,Salmon,Wild commercial,Sockeye,7.2,23.9,77.7,10.7917,3.319444444
2000,Salmon,Farmed,Farmed,49.35,281.69,326,6.6059,5.708004053
2000,Salmon,Farmed,Atlantic,39.24,218.1,,,5.558103976
2000,Salmon,Farmed,"Chinook salmon, farmed",7.99,55.42,,,6.936170213
2000,Salmon,Farmed,"Coho salmon, farmed",2.09,8.07,,,3.861244019
2000,Salmon,Farmed,Other Pacific,0.03,0.1,,,3.333333333
2000,Salmon,Farmed,"Salmon, farmed",,,326,,
2000,Salmon,Wild commercial,Chinook,0.5,2.8,5.3,10.6,5.6
2000,Salmon,Wild commercial,Chum,2.8,3.4,34.5,12.3214,1.214285714
2000,Salmon,Wild commercial,Coho,0.1,0.1,8.9,89,1
2000,Salmon,Wild commercial,Pink,7.1,4.7,36.5,5.1408,0.661971831
2000,Salmon,Wild commercial,Sockeye,8.5,39.5,113.1,13.3059,4.647058824
1999,Salmon,Farmed,Farmed,49.64,290.6,333.9,6.7264,5.854149879
1999,Salmon,Farmed,Atlantic,38.78,222.98,,,5.749871068
1999,Salmon,Farmed,"Chinook salmon, farmed",8.82,55.56,,,6.299319728
1999,Salmon,Farmed,"Coho salmon, farmed",2.02,12,,,5.940594059
1999,Salmon,Farmed,Other Pacific,0.02,0.06,,,3
1999,Salmon,Farmed,"Salmon, farmed",,,333.9,,
1999,Salmon,Wild commercial,Chinook,0.8,4.1,6.6,8.25,5.125
1999,Salmon,Wild commercial,Chum,5,4.1,41.2,8.24,0.82
1999,Salmon,Wild commercial,Coho,0.1,0.1,5.8,58,1
1999,Salmon,Wild commercial,Pink,9.5,5.7,53.2,5.6,0.6
1999,Salmon,Wild commercial,Sockeye,1.7,12.4,63.1,37.1176,7.294117647
1998,Salmon,Farmed,Farmed,42.25,228.97,264.1,6.2509,5.419408284
1998,Salmon,Farmed,Atlantic,33.06,179.57,,,5.431639443
1998,Salmon,Farmed,"Chinook salmon, farmed",6.57,39.51,,,6.01369863
1998,Salmon,Farmed,"Coho salmon, farmed",2.3,8.66,,,3.765217391
1998,Salmon,Farmed,Other Pacific,0.32,1.23,,,3.84375
1998,Salmon,Farmed,"Salmon, farmed",,,264.1,,
1998,Salmon,Wild commercial,Chinook,1.4,5.5,9.2,6.5714,3.928571429
1998,Salmon,Wild commercial,Chum,19.9,12.8,57.2,2.8744,0.64321608
1998,Salmon,Wild commercial,Coho,0.1,0.1,6.5,65,1
1998,Salmon,Wild commercial,Pink,3.9,2.8,58.7,15.0513,0.717948718
1998,Salmon,Wild commercial,Sockeye,5.1,32.9,76,14.902,6.450980392
1997,Salmon,Farmed,Farmed,36.44,176.19,229.3,6.2925,4.83507135
1997,Salmon,Farmed,Atlantic,30.71,144.16,,,4.694236405
1997,Salmon,Farmed,"Chinook salmon, farmed",4.3,25.19,,,5.858139535
1997,Salmon,Farmed,"Coho salmon, farmed",1.36,6.61,,,4.860294118
1997,Salmon,Farmed,Other Pacific,0.07,0.23,,,3.285714286
1997,Salmon,Farmed,"Salmon, farmed",,,229.3,,
1997,Salmon,Wild commercial,Chinook,1.7,5.8,7.7,4.5294,3.411764706
1997,Salmon,Wild commercial,Chum,8.7,6.5,36.1,4.1494,0.747126437
1997,Salmon,Wild commercial,Coho,0.8,1.8,7.2,9,2.25
1997,Salmon,Wild commercial,Pink,12.2,6.6,45,3.6885,0.540983607
1997,Salmon,Wild commercial,Sockeye,25.3,89,209.6,8.2846,3.517786561
