Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2020,Invertebrates,Wild commercial,"Prawns, wild",2.05,26.58,40.44
2020,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.58,7.92,12.31
2020,Invertebrates,Wild commercial,"Sea urchins green, wild",0.21,0.91,2.14
2020,Invertebrates,Wild commercial,"Sea urchins red, wild",3.69,9.65,14.81
2020,Invertebrates,Wild commercial,"Shrimp, wild",0.65,1.96,13.27
2020,Other seafood,Farmed,"Other, farmed",1.84,17.99,39.83
2020,Other seafood,Wild commercial,"Other, wild",0.69,0.29,32.58
2020,Other seafood,Wild commercial,"Tuna, wild",2.38,10.04,33.38
2020,Salmon,Farmed,Atlantic,89.23,605.02,710.52
2020,Salmon,Farmed,Pacific,2.44,29.7,44.83
2020,Salmon,Wild commercial,Chinook,1.33,9.92,16.49
2020,Salmon,Wild commercial,Chum,1.51,4.48,13.45
2020,Salmon,Wild commercial,Coho,0.39,1.89,23.8
2020,Salmon,Wild commercial,"Other salmon products, wild",,,1.54
2020,Salmon,Wild commercial,Pink,4.97,4.86,12.24
2020,Salmon,Wild commercial,Sockeye,0.29,1.02,126.6
2019,Groundfish,Wild commercial,"Arrowtooth flounders, wild",6.81,3.65,9.99
2019,Groundfish,Wild commercial,"Hake, wild",99.69,43.01,105.45
2019,Groundfish,Wild commercial,"Halibut, wild",3.17,46.3,71.43
2019,Groundfish,Wild commercial,"Lingcod, wild",0.96,5.91,9.46
2019,Groundfish,Wild commercial,"Other groundfish, wild",0.24,0.35,8.57
2019,Groundfish,Wild commercial,"Pacific cod, wild",0.49,0.83,4.26
2019,Groundfish,Wild commercial,"Pollock, wild",6.25,2.32,7.38
2019,Groundfish,Wild commercial,"Rockfish, wild",15.57,19.42,42.49
2019,Groundfish,Wild commercial,"Sablefish, wild",2.48,28.74,34.61
2019,Groundfish,Wild commercial,"Skates, wild",0.32,0.23,0.53
2019,Groundfish,Wild commercial,"Soles, wild",2.75,3.98,9.11
2019,Herring,Wild commercial,"Herring food, bait & other, wild",4.62,0.81,14.22
2019,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.17,6.24,2.54
2019,Herring,Wild commercial,"Roe herring, wild",14.11,8.02,22.79
2019,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.11,9.37,31.3
2019,Invertebrates,Farmed,"Mussels, farmed",0.73,4.87,3.25
2019,Invertebrates,Farmed,"Oysters, farmed",7.78,17.74,28.32
2019,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.08,1.08,2.79
2019,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.38,1.51,14.09
2019,Invertebrates,Wild commercial,"Crabs, wild",8.33,92.04,173.13
2019,Invertebrates,Wild commercial,"Geoducks, wild",1.35,54.9,54.84
2019,Invertebrates,Wild commercial,"Other invertebrates, wild",0.25,0.42,15.98
2019,Invertebrates,Wild commercial,"Prawns, wild",1.98,33.72,61.04
